Source,Target
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,24
1,24
1,25
1,25
1,25
1,33
2,10
2,10
2,10
2,10
2,10
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,26
2,26
2,26
2,27
2,27
2,27
2,27
2,34
5,12
5,12
5,21
5,21
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,22
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
8,71
8,71
8,71
8,71
9,1
9,71
9,71
9,71
9,71
9,71
10,71
10,71
10,71
11,2
11,8
11,9
11,9
11,10
11,10
11,12
11,12
11,13
11,13
11,14
11,14
11,15
11,15
11,16
11,16
11,17
11,17
11,18
11,18
11,19
11,19
11,20
11,20
11,21
11,21
11,22
11,22
11,23
11,23
11,24
11,24
11,25
11,25
11,26
11,26
11,27
11,27
11,28
11,28
11,29
11,29
11,30
11,30
11,31
11,31
11,32
11,32
11,33
11,33
11,34
11,34
11,35
11,35
11,36
11,36
11,37
11,37
11,38
11,38
11,39
11,39
11,40
11,40
11,41
11,41
11,42
11,42
11,43
11,43
11,44
11,44
11,45
11,45
11,46
11,46
11,47
11,47
11,48
11,48
11,49
11,49
11,50
11,50
11,51
11,51
11,52
11,52
11,53
11,53
11,54
11,54
11,55
11,55
11,56
11,56
11,57
11,57
11,58
11,58
11,59
11,59
11,60
11,60
11,61
11,61
11,62
11,62
11,63
11,63
11,64
11,64
11,65
11,65
11,66
11,66
11,67
11,67
11,68
11,68
11,69
11,69
11,70
11,70
11,71
11,71
11,71
11,71
11,71
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,62
12,63
12,64
12,65
12,66
12,67
12,68
12,69
12,69
12,70
12,71
14,6
21,71
24,71
25,71
26,71
26,71
27,69
27,71
27,71
30,6
33,71
33,71
34,71
34,71
35,69
46,11
46,78
51,69
53,71
54,71
54,71
55,69
55,71
56,71
56,71
56,71
56,71
56,71
56,71
56,71
56,71
56,71
56,71
57,71
57,71
57,71
57,71
57,71
57,71
57,71
57,71
57,71
57,71
57,73
58,69
58,71
58,71
58,71
58,71
58,71
58,71
58,71
58,71
58,71
58,71
58,74
58,74
59,71
59,71
59,71
59,71
59,71
59,71
59,71
59,71
59,71
59,71
59,74
60,71
60,71
60,71
60,71
60,71
60,71
60,71
60,71
60,71
60,71
60,77
61,71
61,71
61,71
61,71
61,71
61,71
61,71
61,71
61,71
61,71
61,77
62,10
62,14
62,18
62,22
62,26
62,30
62,34
62,71
62,71
62,71
62,71
62,71
62,71
62,71
62,71
62,71
62,71
62,78
62,78
63,71
63,71
63,71
63,71
63,71
63,71
63,71
63,71
63,71
63,71
63,78
64,71
64,71
64,71
64,71
64,71
64,71
64,71
64,71
64,71
64,71
64,73
65,71
65,71
65,71
65,71
65,71
65,71
65,71
65,71
65,71
65,71
65,73
66,71
66,71
66,71
66,71
66,71
66,71
66,71
66,71
66,71
66,74
67,11
67,69
67,71
67,71
67,71
67,71
67,71
67,71
67,71
67,71
67,71
67,71
67,74
68,69
68,71
68,71
68,71
68,71
68,71
68,71
68,71
68,71
68,71
68,71
68,77
69,8
69,12
69,18
69,25
69,27
69,32
69,35
69,37
69,39
69,40
69,41
69,42
69,43
69,45
69,47
69,48
69,49
69,51
69,51
69,53
69,53
69,54
69,55
69,56
69,57
69,58
69,59
69,60
69,61
69,62
69,64
69,67
69,68
69,71
69,71
69,71
69,71
69,71
69,71
69,71
69,77
70,71
70,71
70,71
70,71
70,71
70,71
70,78
71,8
71,9
71,11
71,33
71,33
71,56
71,56
71,56
71,56
71,56
71,56
71,56
71,56
71,56
71,56
71,57
71,57
71,57
71,57
71,57
71,57
71,57
71,57
71,57
71,57
71,58
71,58
71,58
71,58
71,58
71,58
71,58
71,58
71,58
71,58
71,59
71,59
71,59
71,59
71,59
71,59
71,59
71,59
71,59
71,59
71,60
71,60
71,60
71,60
71,60
71,60
71,60
71,60
71,60
71,60
71,61
71,61
71,61
71,61
71,61
71,61
71,61
71,61
71,61
71,61
71,62
71,62
71,62
71,62
71,62
71,62
71,62
71,62
71,62
71,62
71,63
71,63
71,63
71,63
71,63
71,63
71,63
71,63
71,63
71,63
71,64
71,64
71,64
71,64
71,64
71,64
71,64
71,64
71,64
71,64
71,65
71,65
71,65
71,65
71,65
71,65
71,65
71,65
71,65
71,65
71,66
71,66
71,66
71,66
71,66
71,66
71,66
71,66
71,67
71,67
71,67
71,67
71,67
71,67
71,67
71,67
71,67
71,67
71,68
71,68
71,68
71,68
71,68
71,68
71,68
71,68
71,68
71,68
71,69
71,69
71,69
71,69
71,69
71,69
71,69
71,69
71,70
71,70
71,78
73,56
73,56
73,56
73,56
73,56
73,56
73,56
73,57
73,57
73,57
73,57
73,57
73,57
73,57
73,57
73,57
73,57
73,64
73,64
73,64
73,64
73,64
73,64
73,64
73,64
73,64
73,64
73,65
73,65
73,65
73,65
73,65
73,65
73,65
73,65
73,65
73,65
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,66
74,66
74,66
74,66
74,66
74,66
74,66
74,66
74,66
74,66
74,67
74,67
74,67
74,67
74,67
74,67
74,67
74,67
74,67
74,67
77,53
77,53
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,61
77,61
77,61
77,61
77,61
77,61
77,61
77,61
77,61
77,61
77,68
77,68
77,68
77,68
77,68
77,68
77,68
77,68
77,68
77,68
77,69
77,69
77,69
77,69
77,69
77,69
77,69
77,69
77,69
77,69
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,54
78,54
78,54
78,55
78,55
78,55
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,63
78,63
78,63
78,63
78,63
78,63
78,63
78,63
78,63
78,63
78,70
78,70
78,70
78,70
78,70
78,70
78,70
78,70
78,70
78,70
78,71
78,71
78,71
78,71
78,71
78,71
78,71
78,71
78,71
78,71
